tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_density
50,7.0466,0.296275,6.8412,77157783037617.61,1.0066,-1.4431,8.3840,3.0765
100,15.9010,0.202282,7.2221,104093819008914.80,9.0261,-4.9332,13.4635,15.7129
150,16.0482,0.000000,6.7123,140434480733325.62,9.0261,-4.9332,13.4635,8.2331
200,16.2544,0.000000,6.8175,189463538026772.69,9.0261,-4.9332,13.4635,4.0994
250,15.0372,0.039069,6.8220,255611648070902.16,7.0767,-4.9604,13.3418,13.9825
300,14.9897,0.000000,6.7013,344856399496401.44,7.0767,-4.9604,13.3418,32.7098
350,15.1186,0.000000,6.7662,465263104091990.75,7.0767,-4.9604,13.3418,24.3159
400,15.1618,0.000000,6.3930,627713141628907.75,7.0767,-4.9604,13.3418,14.3774
450,15.1382,0.000000,6.1883,846888296823570.88,7.0767,-4.9604,13.3418,7.6764
500,15.0601,0.000000,6.3487,1142596810024091.00,7.0767,-4.9604,13.3418,3.8674
550,15.7093,0.039069,6.2678,1541565087190311.50,9.0261,-4.9332,13.4635,23.1649
600,16.0225,0.000000,6.2654,2079851927368258.50,9.0261,-4.9332,13.4635,21.5627
650,16.0325,0.000000,6.4196,2806109894669982.50,9.0261,-4.9332,13.4635,13.7176
700,15.8265,0.000000,6.4184,3785980652159028.50,9.0261,-4.9332,13.4635,7.5955
750,15.8311,0.000000,6.4192,5108031597307022.00,9.0261,-4.9332,13.4635,3.9109
800,15.0140,0.039069,6.5532,6891757922759525.00,7.0767,-4.9604,13.3418,28.5829
850,14.8085,0.000000,6.6515,9298389164796416.00,7.0767,-4.9604,13.3418,25.6448
900,14.8934,0.000000,6.7723,12545457488830076.00,7.0767,-4.9604,13.3418,16.1434
950,14.5655,0.000000,6.6134,16926469265088764.00,7.0767,-4.9604,13.3418,8.8941
1000,14.9457,0.000000,6.2066,22837427440195416.00,7.0767,-4.9604,13.3418,4.5662
1050,12.3671,0.054240,6.1167,30812640858225000.00,5.1808,-4.4421,11.4730,19.2365
1100,12.4284,0.000000,6.1508,41573009433733584.00,5.1808,-4.4421,11.4730,27.2149
1150,12.5581,0.000000,6.2896,56091210579821176.00,5.1808,-4.4421,11.4730,18.9710
1200,12.2755,0.000000,6.5446,75679604126926720.00,5.1808,-4.4421,11.4730,10.9361
1250,12.1949,0.000000,6.1926,102108897093660512.00,5.1808,-4.4421,11.4730,6.1148
1300,12.1866,0.000000,6.3532,137768177149051584.00,5.1808,-4.4421,11.4730,22.4735
1350,12.2028,0.000000,6.3785,185880930379908864.00,5.1808,-4.4421,11.4730,23.0675
1400,12.5025,0.000000,6.7910,250796385835873184.00,5.1808,-4.4421,11.4730,15.0575
1450,12.4952,0.000000,6.3134,338382757426688000.00,5.1808,-4.4421,11.4730,8.4371
1500,12.1264,0.000000,6.3205,456557641654526848.00,5.1808,-4.4421,11.4730,6.0514
1550,15.8589,0.087154,6.4623,616003884631718656.00,9.0261,-4.9332,13.4635,3.2112
1600,12.3758,0.087154,6.5372,831135177719261184.00,5.1808,-4.4421,11.4730,3.7587
1650,17.5135,0.141266,6.4280,1121399244931246976.00,10.3292,-8.9838,13.1338,32.6355
1700,17.7485,0.000000,6.6728,1513035717789433344.00,10.3292,-8.9838,13.1338,29.2169
1750,17.8797,0.000000,7.1557,2041448508893488896.00,10.3292,-8.9838,13.1338,18.3803
1800,17.6577,0.000000,6.7795,2754406031421626880.00,10.3292,-8.9838,13.1338,10.1233
1850,17.5098,0.000000,6.8124,3716359975614940160.00,10.3292,-8.9838,13.1338,5.1963
1900,17.8451,0.000000,7.6524,5014271313820585984.00,10.3292,-8.9838,13.1338,2.5532
1950,12.0963,0.141266,7.1505,6765472419683478528.00,5.1808,-4.4421,11.4730,3.4817
2000,14.4759,0.054240,7.3071,9128273305007411200.00,7.0767,-4.9604,13.3418,3.1218
2050,17.6077,0.103557,7.2495,12316274254608558080.00,10.3292,-8.9838,13.1338,18.8329
2100,17.9038,0.000000,7.5377,16617674446932185088.00,10.3292,-8.9838,13.1338,22.8615
2150,17.9693,0.000000,7.1634,22421327518297354240.00,10.3292,-8.9838,13.1338,19.4333
2200,17.6758,0.000000,7.1820,30251892808188493824.00,10.3292,-8.9838,13.1338,14.4515
2250,17.7319,0.000000,7.5323,40817268531280969728.00,10.3292,-8.9838,13.1338,10.0128
2300,17.6742,0.000000,7.6658,55072584381338419200.00,10.3292,-8.9838,13.1338,6.6396
2350,17.6422,0.000000,7.5684,74306551967909167104.00,10.3292,-8.9838,13.1338,4.2732
2400,17.6925,0.000000,7.7029,100257962826477453312.00,10.3292,-8.9838,13.1338,2.6911
2450,18.1250,0.014599,7.5854,135272886592350535680.00,10.2216,-9.7031,13.0716,7.8264
2500,18.0919,0.000000,7.5734,182516754527697305600.00,10.2216,-9.7031,13.0716,21.7387
2550,17.8837,0.000000,7.6643,246260534041310986240.00,10.2216,-9.7031,13.0716,21.5208
2600,18.0503,0.000000,7.6686,332266824520199241728.00,10.2216,-9.7031,13.0716,17.0836
2650,18.0444,0.000000,7.4678,448310829908601798656.00,10.2216,-9.7031,13.0716,12.2746
2700,17.8647,0.000000,7.6805,604883241757387390976.00,10.2216,-9.7031,13.0716,8.3303
2750,18.1133,0.000000,7.3227,816138655816274935808.00,10.2216,-9.7031,13.0716,5.4480
2800,18.0572,0.000000,7.8504,1101175162038810836992.00,10.2216,-9.7031,13.0716,3.4717
2850,18.3554,0.000000,7.2357,1485760912810410770432.00,10.2216,-9.7031,13.0716,2.7354
2900,18.1134,0.000000,7.2932,2004663600051713736704.00,10.2216,-9.7031,13.0716,2.7354
2950,18.1853,0.000000,7.3720,2704793630677330821120.00,10.2216,-9.7031,13.0716,25.1430
3000,17.8341,0.000000,7.5680,3649444908261150556160.00,10.2216,-9.7031,13.0716,20.3306
3050,17.8677,0.000000,7.2958,4924016910659112402944.00,10.2216,-9.7031,13.0716,12.3866
3100,17.9773,0.000000,7.7031,6643734973728681885696.00,10.2216,-9.7031,13.0716,6.7159
3150,17.8569,0.000000,7.7058,8964067205151279022080.00,10.2216,-9.7031,13.0716,3.4153
3200,3.8265,0.371624,6.7010,12094779149641404383232.00,-2.9234,-3.5801,1.4535,1.7759
3250,3.6551,0.099203,6.8232,16318897554405491474432.00,0.1318,-1.5306,4.7805,2.0280
3300,7.1902,0.074185,7.0084,22018296679288096686080.00,1.0066,-1.4431,8.3840,2.3088
3350,11.7785,0.119934,7.0527,29708221432243783991296.00,5.1808,-4.4421,11.4730,2.7939
3400,16.9893,0.104473,7.0152,40083866860316394520576.00,9.3977,-4.3446,14.5544,2.0744
3450,14.8174,0.082115,7.0160,54083226809467320401920.00,7.5424,-0.6850,14.4041,48.9558
