tick,planet_dist,velocity,star_radius,total_length,px,py,pz,planet_radius,max_core_length
50,6.6705,0.000074,4.9567,833098.59,-5.2715,-2.0091,6.5560,1.8961,55069.2524
100,6.6639,0.000145,4.9170,838471.05,-5.2715,-2.0091,6.5560,1.8961,55069.2524
150,6.6646,0.000212,4.9052,843732.88,-5.2715,-2.0091,6.5560,1.8961,55069.2524
200,6.6639,0.000275,4.9170,849393.95,-5.2715,-2.0091,6.5560,1.8961,55069.2524
250,6.5596,0.000336,5.0119,854437.43,-5.2715,-2.0091,6.5560,1.8961,55069.2524
300,6.5585,0.000394,5.0238,858308.07,-5.2715,-2.0091,6.5560,1.8961,55069.2524
350,6.5596,0.000449,5.0119,862412.25,-5.2715,-2.0091,6.5560,1.8961,55069.2524
400,6.5585,0.000501,5.0238,866766.56,-5.2715,-2.0091,6.5560,1.8961,55069.2524
450,6.5596,0.000550,5.0119,871389.03,-5.2715,-2.0091,6.5560,1.8961,55069.2524
500,6.5585,0.000598,5.0238,876299.31,-5.2715,-2.0091,6.5560,1.8961,55069.2524
550,6.5585,0.000643,5.0238,881516.36,-5.2715,-2.0091,6.5560,1.8961,55069.2524
600,6.5585,0.000685,5.0238,887063.01,-5.2715,-2.0091,6.5560,1.8961,55069.2524
650,6.5585,0.000726,5.0238,892970.89,-5.2715,-2.0091,6.5560,1.8961,55069.2524
700,6.5585,0.000765,5.0238,899258.78,-5.2715,-2.0091,6.5560,1.8961,55069.2524
750,6.5746,0.000801,5.0159,905956.38,-5.2715,-2.0091,6.5560,1.8961,55069.2524
800,6.5763,0.000836,5.0276,913113.44,-5.2715,-2.0091,6.5560,1.8961,55069.2524
850,6.5635,0.000870,5.0236,920752.21,-5.2715,-2.0091,6.5560,1.8961,55069.2524
900,6.5771,0.000901,5.0158,928900.34,-5.2715,-2.0091,6.5560,1.8961,55069.2524
950,6.5789,0.000931,5.0273,937601.67,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1000,6.5610,0.000960,5.0238,946985.07,-5.2715,-2.0091,6.5560,1.8961,55069.2524
1050,6.6569,0.000987,4.9743,956920.20,-5.2715,-2.0091,6.5560,1.8961,55069.2524
