alpha_0,gamma,M,total_ticks,total_emissions,total_agent_commits,first_commit_time,max_salience,mean_salience,cfl,dt,T
1.6,0.01,1,99,99,0,-1.0,0.022710002517016638,0.005235051758346544,1.0,0.005,100.0
1.6,0.01,2,99,99,0,-1.0,0.021948779459119168,0.005170650058276861,1.0,0.005,100.0
1.6,0.01,4,99,99,0,-1.0,0.02047775555210291,0.005041920011698248,1.0,0.005,100.0
1.6,0.005,1,99,99,0,-1.0,0.030522361901213834,0.006713305351056157,1.0,0.005,100.0
1.6,0.005,2,99,99,0,-1.0,0.029422774677094417,0.006623255461539482,1.0,0.005,100.0
1.6,0.005,4,99,99,0,-1.0,0.02730803035713282,0.0064434762080382985,1.0,0.005,100.0
1.6,0.001,1,99,99,0,-1.0,0.039389994695846586,0.008311493415871441,1.0,0.005,100.0
1.6,0.001,2,99,99,0,-1.0,0.037878615807728055,0.008191443191101638,1.0,0.005,100.0
1.6,0.001,4,99,99,0,-1.0,0.03498504061414218,0.007952052866444017,1.0,0.005,100.0
1.6,0.0005,1,99,99,0,-1.0,0.0407154167597292,0.008544572528068659,1.0,0.005,100.0
1.6,0.0005,2,99,99,0,-1.0,0.0391403274730118,0.008419973296055752,1.0,0.005,100.0
1.6,0.0005,4,99,99,0,-1.0,0.036126621161573134,0.008171552033865407,1.0,0.005,100.0
1.7,0.01,1,99,99,0,-1.0,0.025484112258863902,0.0058660260379930305,1.0,0.005,100.0
1.7,0.01,2,99,99,0,-1.0,0.024628431476789274,0.005793666796256716,1.0,0.005,100.0
1.7,0.01,4,99,99,0,-1.0,0.022974997596404537,0.0056490332414783654,1.0,0.005,100.0
1.7,0.005,1,99,99,0,-1.0,0.03424010346726173,0.00752078053659248,1.0,0.005,100.0
1.7,0.005,2,99,99,0,-1.0,0.03300463998784117,0.007419652738403139,1.0,0.005,100.0
1.7,0.005,4,99,99,0,-1.0,0.03062875315438902,0.007217760875952952,1.0,0.005,100.0
1.7,0.001,1,99,99,0,-1.0,0.04417545436453673,0.009309338581995412,1.0,0.005,100.0
1.7,0.001,2,99,99,0,-1.0,0.04247801260498768,0.009174575580627767,1.0,0.005,100.0
1.7,0.001,4,99,99,0,-1.0,0.039228450889098467,0.008905851940200637,1.0,0.005,100.0
1.7,0.0005,1,99,99,0,-1.0,0.04566020883687728,0.009570147373803722,1.0,0.005,100.0
1.7,0.0005,2,99,99,0,-1.0,0.04389130903323608,0.009430285328651661,1.0,0.005,100.0
1.7,0.0005,4,99,99,0,-1.0,0.040507018758172066,0.009151439063733438,1.0,0.005,100.0
1.8,0.01,1,99,99,0,-1.0,0.028418035498674065,0.006532900448290521,1.0,0.005,100.0
1.8,0.01,2,99,99,0,-1.0,0.027462375398135376,0.0064521204426442385,1.0,0.005,100.0
1.8,0.01,4,99,99,0,-1.0,0.025615875550834943,0.006290657752830758,1.0,0.005,100.0
1.8,0.005,1,99,99,0,-1.0,0.038171441108050125,0.008374107481055989,1.0,0.005,100.0
1.8,0.005,2,99,99,0,-1.0,0.03679218954619245,0.00826125952453337,1.0,0.005,100.0
