dimension,num_sources,geometry,phase_offset,alpha_0,gamma,M,T,has_commits,agent_commit_count,commit_rate,first_commit_time,final_psi,max_salience
4,1,symmetric,0,0.6,0.001,1,100.0,True,5077,50.77,14.089999999999744,8.597515869140626,8.597515869140626
4,1,symmetric,0,0.8,0.001,1,100.0,True,5741,57.41,12.549999999999777,15.279567464192708,15.279567464192708
4,1,symmetric,0,1.0,0.001,1,100.0,True,6193,61.93,11.4799999999998,23.875337727864583,23.875337727864583
4,1,symmetric,0,1.2,0.001,1,100.0,True,6527,65.27,10.669999999999817,34.3900634765625,34.3900634765625
4,1,symmetric,0,1.4,0.001,1,100.0,True,6786,67.86,10.02999999999983,46.8334716796875,46.8334716796875
4,1,symmetric,0,1.6,0.001,1,100.0,True,6994,69.94,9.509999999999842,61.11826985677083,61.11826985677083
4,1,symmetric,0,1.8,0.001,1,100.0,True,7167,71.67,9.069999999999851,77.383251953125,77.383251953125
4,1,symmetric,0,2.0,0.001,1,100.0,True,7313,73.13,8.699999999999859,95.50135091145833,95.50135091145833
4,1,symmetric,0,2.2,0.001,1,100.0,True,7439,74.39,8.369999999999866,115.56399739583333,115.56399739583333
4,1,symmetric,0,2.4,0.001,1,100.0,True,7549,75.49,8.079999999999872,137.56025390625,137.56025390625
4,1,symmetric,0,2.6,0.001,1,100.0,True,7645,76.45,7.8299999999998775,161.44093424479166,161.44093424479166
4,1,symmetric,0,0.6,0.005,1,100.0,True,5219,52.19,14.139999999999743,16.650553385416668,16.650553385416668
4,1,symmetric,0,0.8,0.005,1,100.0,True,5821,58.21,12.599999999999776,29.571634928385418,29.571634928385418
4,1,symmetric,0,1.0,0.005,1,100.0,True,6243,62.43,11.519999999999799,46.309016927083334,46.309016927083334
4,1,symmetric,0,1.2,0.005,1,100.0,True,6558,65.58,10.699999999999816,66.60221354166667,66.60221354166667
4,1,symmetric,0,1.4,0.005,1,100.0,True,6805,68.05,10.05999999999983,90.66923828125,90.66923828125
4,1,symmetric,0,1.6,0.005,1,100.0,True,7007,70.07,9.539999999999841,118.28653971354167,118.28653971354167
4,1,symmetric,0,1.8,0.005,1,100.0,True,7174,71.74,9.09999999999985,150.05250651041666,150.05250651041666
4,1,symmetric,0,2.0,0.005,1,100.0,True,7317,73.17,8.719999999999859,185.23606770833334,185.23606770833334
4,1,symmetric,0,2.2,0.005,1,100.0,True,7440,74.4,8.389999999999866,223.83326822916666,223.83326822916666
4,1,symmetric,0,2.4,0.005,1,100.0,True,7548,75.48,8.099999999999872,266.4088541666667,266.4088541666667
4,1,symmetric,0,2.6,0.005,1,100.0,True,7643,76.43,7.849999999999877,313.3626302083333,313.3626302083333
4,1,symmetric,0,0.6,0.001,1,200.0,True,15077,75.385,14.089999999999744,130.268212890625,130.268212890625
4,1,symmetric,0,0.8,0.001,1,200.0,True,15741,78.705,12.549999999999777,231.21246744791665,231.21246744791665
4,1,symmetric,0,1.0,0.001,1,200.0,True,16193,80.965,11.4799999999998,360.9702473958333,360.9702473958333
4,1,symmetric,0,1.2,0.001,1,200.0,True,16527,82.635,10.669999999999817,521.0728515625,521.0728515625
4,1,symmetric,0,1.4,0.001,1,200.0,True,16786,83.93,10.02999999999983,708.9554036458334,708.9554036458334
4,1,symmetric,0,1.6,0.001,1,200.0,True,16994,84.97,9.509999999999842,924.8498697916666,924.8498697916666
4,1,symmetric,0,1.8,0.001,1,200.0,True,17167,85.835,9.069999999999851,1170.4723958333334,1170.4723958333334
4,1,symmetric,0,2.0,0.001,1,200.0,True,17313,86.565,8.699999999999859,1443.8809895833333,1443.8809895833333
4,1,symmetric,0,2.2,0.001,1,200.0,True,17439,87.195,8.369999999999866,1744.0338541666667,1744.0338541666667
4,1,symmetric,0,2.4,0.001,1,200.0,True,17549,87.745,8.079999999999872,2084.29140625,2084.29140625
4,1,symmetric,0,2.6,0.001,1,200.0,True,17645,88.225,7.8299999999998775,2449.0705729166666,2449.0705729166666
4,1,symmetric,0,0.6,0.005,1,200.0,True,15219,76.095,14.139999999999743,2006.114453125,2006.114453125
4,1,symmetric,0,0.8,0.005,1,200.0,True,15821,79.105,12.599999999999776,3583.3898437499997,3583.3898437499997
4,1,symmetric,0,1.0,0.005,1,200.0,True,16243,81.215,11.519999999999799,5579.827083333334,5579.827083333334
4,1,symmetric,0,1.2,0.005,1,200.0,True,16558,82.79,10.699999999999816,8024.4578125,8024.4578125
4,1,symmetric,0,1.4,0.005,1,200.0,True,16805,84.025,10.05999999999983,10944.358333333334,10944.358333333334
4,1,symmetric,0,1.6,0.005,1,200.0,True,17007,85.035,9.539999999999841,14333.559374999999,14333.559374999999
4,1,symmetric,0,1.8,0.005,1,200.0,True,17174,85.87,9.09999999999985,18172.166666666668,18172.166666666668
