run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
5,1,symmetric,0,500,0.00475,1.8,4,64150029.909958415,64150029.909958415,3.9499999999999598,48995,97.99
6,1,symmetric,0,500,0.005,0.8,4,64150029.909958415,64150029.909958415,5.479999999999928,48490,96.98
7,1,symmetric,0,500,0.005,1.8,4,64150029.909958415,64150029.909958415,3.9599999999999596,48995,97.99
10,1,symmetric,0,1000,0.0045,0.8,4,64150029.909958415,64150029.909958415,5.479999999999928,98492,98.492
13,1,symmetric,0,1000,0.00475,1.8,4,64150029.909958415,64150029.909958415,3.9499999999999598,98995,98.995
14,1,symmetric,0,1000,0.005,0.8,4,64150029.909958415,64150029.909958415,5.479999999999928,98490,98.49
15,1,symmetric,0,1000,0.005,1.8,4,64150029.909958415,64150029.909958415,3.9599999999999596,98995,98.995
16,2,symmetric,0,500,0.004,0.8,4,201.48874437139503,1455.4109452847301,4.149999999999956,48928,97.856
17,2,symmetric,0,500,0.004,1.8,4,997.3164587489072,7359.85324520425,2.9899999999999802,49289,98.578
18,2,symmetric,0,500,0.0045,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,48934,97.868
19,2,symmetric,0,500,0.0045,1.8,4,64150029.909958415,64150029.909958415,2.9899999999999802,49290,98.58
21,2,symmetric,0,500,0.00475,1.8,4,64150029.909958415,64150029.909958415,2.9899999999999802,49290,98.58
22,2,symmetric,0,500,0.005,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,48933,97.866
23,2,symmetric,0,500,0.005,1.8,4,64150029.909958415,64150029.909958415,2.9899999999999802,49290,98.58
25,2,symmetric,0,1000,0.004,1.8,4,1819.2424757610643,7359.85324520425,2.9899999999999802,99289,99.289
26,2,symmetric,0,1000,0.0045,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,98934,98.934
28,2,symmetric,0,1000,0.00475,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,98934,98.934
29,2,symmetric,0,1000,0.00475,1.8,4,64150029.909958415,64150029.909958415,2.9899999999999802,99290,99.29
30,2,symmetric,0,1000,0.005,0.8,4,64150029.909958415,64150029.909958415,4.149999999999956,98933,98.933
32,4,symmetric,0,500,0.004,0.8,4,801.4220010556731,5813.696193839607,3.139999999999977,49245,98.49
33,4,symmetric,0,500,0.004,1.8,4,3954.80448904521,29454.4280971928,2.259999999999996,49498,98.996
34,4,symmetric,0,500,0.0045,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,49247,98.494
35,4,symmetric,0,500,0.0045,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,49499,98.998
36,4,symmetric,0,500,0.00475,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,49247,98.494
37,4,symmetric,0,500,0.00475,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,49498,98.996
38,4,symmetric,0,500,0.005,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,49247,98.494
39,4,symmetric,0,500,0.005,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,49498,98.996
40,4,symmetric,0,1000,0.004,0.8,4,1463.1083224087893,5813.696193839607,3.139999999999977,99245,99.245
41,4,symmetric,0,1000,0.004,1.8,4,7464.177231345319,29454.4280971928,2.259999999999996,99498,99.498
42,4,symmetric,0,1000,0.0045,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,99247,99.247
43,4,symmetric,0,1000,0.0045,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,99499,99.499
44,4,symmetric,0,1000,0.00475,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,99247,99.247
45,4,symmetric,0,1000,0.00475,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,99498,99.498
46,4,symmetric,0,1000,0.005,0.8,4,64150029.909958415,64150029.909958415,3.139999999999977,99247,99.247
47,4,symmetric,0,1000,0.005,1.8,4,64150029.909958415,64150029.909958415,2.259999999999996,99498,99.498
