run_id,num_sources,geometry,phase_offset,T,gamma,alpha_0,dimension,final_psi,max_salience,first_commit_time,agent_commit_count,commit_rate
0,2,symmetric,0,100.0,0.001,0.8,3,11.575309591090427,11.575309591090427,13.279999999999761,5431,54.31
1,2,symmetric,0,100.0,0.001,1.2,3,26.007726791057184,26.007726791057184,11.279999999999804,6275,62.75
2,2,symmetric,0,100.0,0.001,1.8,3,58.53715612533245,58.53715612533245,9.58999999999984,6962,69.62
3,2,symmetric,0,100.0,0.001,2.4,3,104.03090716422874,104.03090716422874,8.549999999999862,7370,73.7
4,2,symmetric,0,100.0,0.003,0.8,3,3.6662925557887305,3.6662925557887305,13.34999999999976,4999,49.99
5,2,symmetric,0,100.0,0.003,1.2,3,8.219308406748672,8.219308406748672,11.329999999999803,6049,60.49
6,2,symmetric,0,100.0,0.003,1.8,3,18.534451099152264,18.534451099152264,9.62999999999984,6840,68.4
7,2,symmetric,0,100.0,0.003,2.4,3,32.87723362699469,32.87723362699469,8.569999999999862,7290,72.9
8,2,symmetric,0,100.0,0.005,0.8,3,22.449943380152927,22.449943380152927,13.31999999999976,5538,55.38
9,2,symmetric,0,100.0,0.005,1.2,3,50.416077958776604,50.416077958776604,11.319999999999803,6318,63.18
10,2,symmetric,0,100.0,0.005,1.8,3,113.86036195146278,113.86036195146278,9.61999999999984,6975,69.75
11,2,symmetric,0,100.0,0.005,2.4,3,201.66431183510642,201.66431183510642,8.569999999999862,7373,73.73
12,2,symmetric,0,200.0,0.001,0.8,3,174.90999002659578,174.90999002659578,13.279999999999761,15431,77.155
13,2,symmetric,0,200.0,0.001,1.2,3,393.7332945478724,393.7332945478724,11.279999999999804,16275,81.375
14,2,symmetric,0,200.0,0.001,1.8,3,887.1321476063831,887.1321476063831,9.58999999999984,16962,84.81
15,2,symmetric,0,200.0,0.001,2.4,3,1574.9331781914896,1574.9331781914896,8.549999999999862,17370,86.85
16,2,symmetric,0,200.0,0.003,0.8,3,0.9915118116013548,4.637421303607049,13.34999999999976,14976,74.88
17,2,symmetric,0,200.0,0.003,1.2,3,1.9690230349276931,10.395773380360707,11.329999999999803,16049,80.245
18,2,symmetric,0,200.0,0.003,1.8,3,5.1703711976396285,23.42251392121011,9.62999999999984,16840,84.2
19,2,symmetric,0,200.0,0.003,2.4,3,7.876092139710773,41.58309352144283,8.569999999999862,17290,86.45
20,2,symmetric,0,200.0,0.005,0.8,3,2705.9511303191493,2705.9511303191493,13.31999999999976,15538,77.69
21,2,symmetric,0,200.0,0.005,1.2,3,6110.212765957448,6110.212765957448,11.319999999999803,16318,81.59
22,2,symmetric,0,200.0,0.005,1.8,3,13657.188829787236,13657.188829787236,9.61999999999984,16975,84.875
23,2,symmetric,0,200.0,0.005,2.4,3,24440.851063829792,24440.851063829792,8.569999999999862,17373,86.865
24,2,symmetric,0,500.0,0.001,0.8,3,5978.980718085108,5978.980718085108,13.279999999999761,45431,90.862
25,2,symmetric,0,500.0,0.001,1.2,3,13683.00930851064,13683.00930851064,11.279999999999804,46275,92.55
26,2,symmetric,0,500.0,0.001,1.8,3,29966.175531914898,29966.175531914898,9.58999999999984,46962,93.924
27,2,symmetric,0,500.0,0.001,2.4,3,54732.03723404256,54732.03723404256,8.549999999999862,47370,94.74
28,2,symmetric,0,500.0,0.003,0.8,3,1.2101126325891376,4.637421303607049,13.34999999999976,34638,69.276
29,2,symmetric,0,500.0,0.003,1.2,3,0.9125638921210107,10.395773380360707,11.329999999999803,41191,82.382
