[Constants t=10] α=0.8682 (drift=0.015886), G=0.8676 (drift=0.022625), h=14, Λ=0.0000 (drift=0.000225)
[Constants t=20] α=0.8520 (drift=0.008773), G=0.8906 (drift=0.013886), h=0, Λ=0.0000 (drift=0.000215)
[Constants t=30] α=0.8474 (drift=0.006016), G=0.9276 (drift=0.010116), h=0, Λ=0.0000 (drift=0.000205)
[Constants t=40] α=0.8007 (drift=0.004859), G=0.9139 (drift=0.007954), h=0, Λ=0.0000 (drift=0.000196)
[Constants t=50] α=0.7886 (drift=0.004157), G=0.8935 (drift=0.006491), h=0, Λ=0.0000 (drift=0.000188)
[Constants t=60] α=0.7864 (drift=0.003566), G=0.8920 (drift=0.005630), h=0, Λ=0.0000 (drift=0.000160)
[Constants t=70] α=0.9045 (drift=0.003710), G=0.9414 (drift=0.005125), h=0, Λ=0.0000 (drift=0.000139)
[Constants t=80] α=0.9144 (drift=0.004256), G=0.9110 (drift=0.004631), h=15, Λ=0.0000 (drift=0.000123)
[Constants t=90] α=0.8980 (drift=0.004736), G=0.8968 (drift=0.004286), h=19, Λ=0.0000 (drift=0.000110)
[Constants t=100] α=0.9175 (drift=0.005041), G=0.9175 (drift=0.004027), h=20, Λ=0.0000 (drift=0.000099)
[Constants t=110] α=0.7894 (drift=0.004676), G=0.8824 (drift=0.003729), h=0, Λ=0.0370 (drift=0.000126)
[Constants t=120] α=0.8631 (drift=0.004333), G=0.9211 (drift=0.003547), h=0, Λ=0.0345 (drift=0.000133)
[Constants t=130] α=0.8775 (drift=0.004042), G=0.9379 (drift=0.003352), h=0, Λ=0.0000 (drift=0.000130)
[Constants t=140] α=0.8910 (drift=0.003826), G=0.9172 (drift=0.003199), h=0, Λ=0.0000 (drift=0.000128)
[Constants t=150] α=0.8937 (drift=0.003800), G=0.9222 (drift=0.003091), h=0, Λ=0.0000 (drift=0.000120)
[Constants t=160] α=0.8951 (drift=0.003742), G=0.9240 (drift=0.002976), h=0, Λ=0.0000 (drift=0.000113)
[Constants t=170] α=0.9005 (drift=0.003709), G=0.9295 (drift=0.002889), h=0, Λ=0.0000 (drift=0.000107)
[Constants t=180] α=0.9125 (drift=0.003639), G=0.9408 (drift=0.002789), h=0, Λ=0.0000 (drift=0.000106)
[Constants t=190] α=0.9106 (drift=0.003566), G=0.9385 (drift=0.002695), h=0, Λ=0.0000 (drift=0.000101)
[Constants t=200] α=0.9014 (drift=0.003507), G=0.9290 (drift=0.002616), h=0, Λ=0.0000 (drift=0.000096)
[Constants t=210] α=0.9254 (drift=0.003442), G=0.9541 (drift=0.002540), h=0, Λ=0.0000 (drift=0.000092)
[Constants t=220] α=0.8971 (drift=0.003364), G=0.9239 (drift=0.002458), h=0, Λ=0.0000 (drift=0.000088)
[Constants t=230] α=0.8822 (drift=0.003235), G=0.9368 (drift=0.002379), h=0, Λ=0.0000 (drift=0.000088)
[Constants t=240] α=0.9039 (drift=0.003129), G=0.9602 (drift=0.002340), h=0, Λ=0.0000 (drift=0.000084)
[Constants t=250] α=0.8796 (drift=0.003013), G=0.9340 (drift=0.002267), h=0, Λ=0.0000 (drift=0.000081)
[Constants t=260] α=0.9258 (drift=0.002958), G=0.9535 (drift=0.002204), h=0, Λ=0.0000 (drift=0.000078)
[Constants t=270] α=0.8963 (drift=0.002871), G=0.9487 (drift=0.002166), h=0, Λ=0.0000 (drift=0.000081)
[Constants t=280] α=0.8826 (drift=0.002772), G=0.9580 (drift=0.002112), h=0, Λ=0.0000 (drift=0.000082)
[Constants t=290] α=0.8728 (drift=0.002684), G=0.9452 (drift=0.002061), h=0, Λ=0.0000 (drift=0.000082)
[Constants t=300] α=0.8596 (drift=0.002598), G=0.9308 (drift=0.002028), h=0, Λ=0.0000 (drift=0.000079)
[Constants t=310] α=0.8773 (drift=0.002519), G=0.9482 (drift=0.002008), h=0, Λ=0.0000 (drift=0.000079)
[Constants t=320] α=0.8659 (drift=0.002444), G=0.9340 (drift=0.001976), h=0, Λ=0.0000 (drift=0.000078)
[Constants t=330] α=0.8997 (drift=0.002377), G=0.9456 (drift=0.001947), h=0, Λ=0.0000 (drift=0.000076)
[Constants t=340] α=0.9340 (drift=0.002392), G=0.9573 (drift=0.001922), h=0, Λ=0.0000 (drift=0.000074)
[Constants t=350] α=0.9273 (drift=0.002428), G=0.9504 (drift=0.001908), h=0, Λ=0.0000 (drift=0.000072)
[Constants t=360] α=0.9482 (drift=0.002454), G=0.9716 (drift=0.001890), h=0, Λ=0.0000 (drift=0.000070)
[Constants t=370] α=0.9220 (drift=0.002485), G=0.9449 (drift=0.001879), h=0, Λ=0.0000 (drift=0.000068)
[Constants t=380] α=0.9290 (drift=0.002493), G=0.9522 (drift=0.001855), h=0, Λ=0.0000 (drift=0.000066)
[Constants t=390] α=0.9113 (drift=0.002464), G=0.9567 (drift=0.001839), h=0, Λ=0.0000 (drift=0.000066)
[Constants t=400] α=0.9034 (drift=0.002434), G=0.9483 (drift=0.001827), h=0, Λ=0.0000 (drift=0.000064)
[Constants t=410] α=0.9351 (drift=0.002420), G=0.9577 (drift=0.001807), h=0, Λ=0.0000 (drift=0.000063)
[Constants t=420] α=0.9258 (drift=0.002427), G=0.9476 (drift=0.001787), h=0, Λ=0.0000 (drift=0.000063)
[Constants t=430] α=0.9577 (drift=0.002457), G=0.9576 (drift=0.001767), h=36, Λ=0.0000 (drift=0.000061)
[Constants t=440] α=0.9650 (drift=0.002537), G=0.9649 (drift=0.001755), h=36, Λ=0.0000 (drift=0.000060)
[Constants t=450] α=0.9715 (drift=0.002610), G=0.9713 (drift=0.001743), h=35, Λ=0.0000 (drift=0.000060)
[Constants t=460] α=0.9716 (drift=0.002667), G=0.9715 (drift=0.001727), h=40, Λ=0.0000 (drift=0.000058)
[Constants t=470] α=0.9645 (drift=0.002721), G=0.9645 (drift=0.001714), h=37, Λ=0.0000 (drift=0.000057)
[Constants t=480] α=0.9609 (drift=0.002780), G=0.9607 (drift=0.001704), h=37, Λ=0.0000 (drift=0.000056)
[Constants t=490] α=0.9703 (drift=0.002832), G=0.9701 (drift=0.001694), h=37, Λ=0.0000 (drift=0.000055)
[Constants t=500] α=0.9641 (drift=0.002873), G=0.9640 (drift=0.001682), h=38, Λ=0.0000 (drift=0.000054)
[Constants t=510] α=0.9691 (drift=0.002903), G=0.9690 (drift=0.001666), h=39, Λ=0.0000 (drift=0.000054)
