[Genesis t=100] Horizon: 0, Frontier: 1, Entities: 11, Edges: 1, Branching: 0.000
[Genesis t=200] Horizon: 2, Frontier: 1, Entities: 17, Edges: 2, Branching: 1.000
[Genesis t=300] Horizon: 0, Frontier: 1, Entities: 26, Edges: 5, Branching: 0.000
[Genesis t=400] Horizon: 2, Frontier: 7, Entities: 36, Edges: 324, Branching: 10.667
[Genesis t=500] Horizon: 2, Frontier: 6, Entities: 44, Edges: 630, Branching: 16.591
[Genesis t=600] Horizon: 2, Frontier: 2, Entities: 56, Edges: 1078, Branching: 23.521
[Genesis t=700] Horizon: 2, Frontier: 5, Entities: 70, Edges: 1514, Branching: 26.547
[Genesis t=800] Horizon: 2, Frontier: 5, Entities: 84, Edges: 2383, Branching: 33.038
[Genesis t=900] Horizon: 2, Frontier: 4, Entities: 101, Edges: 3889, Branching: 43.023
[Genesis t=1000] Horizon: 2, Frontier: 2, Entities: 111, Edges: 4962, Branching: 49.510
[Genesis t=1100] Horizon: 2, Frontier: 3, Entities: 121, Edges: 5480, Branching: 51.515
[Genesis t=1200] Horizon: 2, Frontier: 5, Entities: 130, Edges: 6012, Branching: 53.024
[Genesis t=1300] Horizon: 2, Frontier: 3, Entities: 137, Edges: 7192, Branching: 59.013
[Genesis t=1400] Horizon: 2, Frontier: 7, Entities: 147, Edges: 8602, Branching: 62.528
[Genesis t=1500] Horizon: 2, Frontier: 2, Entities: 161, Edges: 10606, Branching: 72.007
[Genesis t=1600] Horizon: 2, Frontier: 2, Entities: 173, Edges: 12302, Branching: 77.506
[Genesis t=1700] Horizon: 2, Frontier: 1, Entities: 184, Edges: 13592, Branching: 82.003
[Genesis t=1800] Horizon: 1, Frontier: 174, Entities: 191, Edges: 15148, Branching: 174.000
[Genesis t=1900] Horizon: 2, Frontier: 1, Entities: 197, Edges: 16017, Branching: 89.003
[Genesis t=2000] Horizon: 1, Frontier: 192, Entities: 210, Edges: 18447, Branching: 192.000
[Genesis t=2100] Horizon: 2, Frontier: 1, Entities: 218, Edges: 20241, Branching: 100.002
[Genesis t=2200] Horizon: 2, Frontier: 1, Entities: 231, Edges: 22104, Branching: 104.502
[Genesis t=2300] Horizon: 1, Frontier: 216, Entities: 235, Edges: 23381, Branching: 216.000
[Genesis t=2400] Horizon: 1, Frontier: 223, Entities: 244, Edges: 24934, Branching: 223.000
[Genesis t=2500] Horizon: 1, Frontier: 227, Entities: 251, Edges: 25832, Branching: 227.000
[Genesis t=2600] Horizon: 2, Frontier: 1, Entities: 258, Edges: 27470, Branching: 116.502
[Genesis t=2700] Horizon: 1, Frontier: 246, Entities: 269, Edges: 30346, Branching: 246.000
[Genesis t=2800] Horizon: 1, Frontier: 250, Entities: 272, Edges: 31335, Branching: 250.000
[Genesis t=2900] Horizon: 1, Frontier: 257, Entities: 278, Edges: 33134, Branching: 257.000
[Genesis t=3000] Horizon: 1, Frontier: 266, Entities: 288, Edges: 35472, Branching: 266.000
[Genesis t=3100] Horizon: 1, Frontier: 280, Entities: 301, Edges: 39323, Branching: 280.000
[Genesis t=3200] Horizon: 1, Frontier: 291, Entities: 314, Edges: 42475, Branching: 291.000
[Genesis t=3300] Horizon: 2, Frontier: 1, Entities: 328, Edges: 45434, Branching: 150.002
[Genesis t=3400] Horizon: 1, Frontier: 312, Entities: 341, Edges: 48816, Branching: 312.000
[Genesis t=3500] Horizon: 2, Frontier: 1, Entities: 353, Edges: 54955, Branching: 165.502
[Genesis t=3600] Horizon: 1, Frontier: 341, Entities: 365, Edges: 58306, Branching: 341.000
[Genesis t=3700] Horizon: 1, Frontier: 350, Entities: 372, Edges: 61420, Branching: 350.000
