tick,horizon,frontier_size,num_entities,num_edges,branching_factor
100,0,1,11,1,0.0
200,2,1,17,2,1.0
300,0,1,26,5,0.0
400,2,7,36,324,10.666666666666666
500,2,6,44,630,16.59090909090909
600,2,2,56,1078,23.52127659574468
700,2,5,70,1514,26.547169811320753
800,2,5,84,2383,33.03787878787879
900,2,4,101,3889,43.02325581395349
1000,2,2,111,4962,49.51010101010101
1100,2,3,121,5480,51.51456310679612
1200,2,5,130,6012,53.02358490566038
1300,2,3,137,7192,59.01271186440678
1400,2,7,147,8602,62.528
1500,2,2,161,10606,72.00694444444444
1600,2,2,173,12302,77.50645161290322
1700,2,1,184,13592,82.0030487804878
1800,1,174,191,15148,174.0
1900,2,1,197,16017,89.00280898876404
2000,1,192,210,18447,192.0
2100,2,1,218,20241,100.0025
2200,2,1,231,22104,104.50239234449761
2300,1,216,235,23381,216.0
2400,1,223,244,24934,223.0
2500,1,227,251,25832,227.0
2600,2,1,258,27470,116.50214592274678
2700,1,246,269,30346,246.0
2800,1,250,272,31335,250.0
2900,1,257,278,33134,257.0
3000,1,266,288,35472,266.0
3100,1,280,301,39323,280.0
3200,1,291,314,42475,291.0
3300,2,1,328,45434,150.00166666666667
3400,1,312,341,48816,312.0
3500,2,1,353,54955,165.5015105740181
3600,1,341,365,58306,341.0
3700,1,350,372,61420,350.0
