[PiDrift t=1] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=2] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=3] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=4] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=5] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=6] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=7] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=8] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=9] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=10] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=11] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=12] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=13] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=14] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=15] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=16] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=17] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=18] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=19] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=20] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=21] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=22] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=23] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=24] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=25] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=26] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=27] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=28] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=29] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=30] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=31] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=32] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=33] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=34] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=35] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=36] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=37] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=38] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=39] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=40] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=41] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=42] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=43] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=44] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=45] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=46] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=47] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=48] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=49] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=50] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=51] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=52] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=53] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=54] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=55] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=56] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=57] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=58] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=59] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=60] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=61] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=62] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=63] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=64] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=65] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=66] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=67] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=68] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=69] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=70] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=71] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=72] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=73] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=74] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=75] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=76] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=77] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=78] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=79] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=80] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=81] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=82] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=83] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=84] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=85] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=86] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=87] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=88] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=89] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=90] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=91] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=92] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=93] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=94] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=95] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=96] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=97] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=98] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=99] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=100] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=101] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=102] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=103] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=104] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=105] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=106] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=107] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=108] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=109] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=110] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=111] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=112] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=113] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=114] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=115] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=116] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=117] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=118] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=119] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=120] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=121] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=122] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=123] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=124] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=125] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=126] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=127] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=128] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=129] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=130] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=131] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=132] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=133] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=134] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=135] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
[PiDrift t=136] Radii tracked: 1, Avg π: 3.141587, Error: 5.167710e-06, True π: 3.141593
