spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
3,4,1,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,8945,44.725,13.099999999999765,199.99999999996308,1.4038481533324696,1.4038481533324696,[20000]
3,4,1,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,38945,77.89,13.099999999999765,499.99999999969026,2.5162685975080312,2.516430152784904,[50000]
3,4,1,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,8945,44.725,13.099999999999765,199.99999999996308,1.4038481533324696,1.4038481533324696,[20000]
3,4,1,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,38945,77.89,13.099999999999765,499.99999999969026,2.5162685975080312,2.516430152784904,[50000]
3,4,2,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,14880,74.4,9.59999999999984,199.99999999996308,5.615324873014118,5.615324873014118,"[20000, 20000]"
3,4,2,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,44880,89.76,9.59999999999984,499.99999999969026,10.127802997669368,10.129295435102312,"[50000, 50000]"
3,4,2,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,14881,74.405,9.59999999999984,199.99999999996308,5.613319544618989,5.613319544618989,"[20000, 20000]"
3,4,2,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,44881,89.762,9.59999999999984,499.99999999969026,10.300758001966084,10.302110657795078,"[50000, 50000]"
3,4,4,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17138,85.69,7.089999999999893,199.99999999996308,22.458662995957354,22.458662995957354,"[20000, 20000, 20000, 20000]"
3,4,4,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47138,94.276,7.089999999999893,499.99999999969026,40.67022754333105,40.67498441883778,"[50000, 50000, 50000, 50000]"
3,4,4,0.8,1.0,0.1,1,200,"(48, 48, 48)",10,A_physics,True,17138,85.69,7.089999999999893,199.99999999996308,22.468608994699952,22.468608994699952,"[20000, 20000, 20000, 20000]"
3,4,4,0.8,1.0,0.1,1,500,"(48, 48, 48)",10,A_physics,True,47138,94.276,7.089999999999893,499.99999999969026,40.35220503996876,40.355602808187854,"[50000, 50000, 50000, 50000]"
3,4,1,0.8,1.0,0.2,1,200,"(48, 48, 48)",10,A_physics,True,4725,23.625,14.959999999999726,199.9899999999631,0.9687265681795739,0.9687265681795739,[20000]
