spatial_dimension,total_dimension,num_sources,alpha_0,alpha_1,gamma,M,T,grid_sizes,time_window_size,variant,has_commits,agent_commit_count,commit_rate,first_commit_time,last_commit_time,final_psi,max_salience,source_emission_counts
2,2,1,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,14925,74.625,10.628571428571394,200.00000000006196,8.977504572792657,8.977504572792657,[21000]
2,2,1,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,46425,92.85,10.628571428571394,499.99999999944464,59.44615536644345,59.44615536644345,[52500]
2,2,1,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,14925,74.625,10.628571428571394,200.00000000006196,8.977504572792657,8.977504572792657,[21000]
2,2,1,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,46425,92.85,10.628571428571394,499.99999999944464,59.44615536644345,59.44615536644345,[52500]
2,2,2,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,17490,87.45,7.857142857142832,200.00000000006196,35.835990203373015,35.835990203373015,"[21000, 21000]"
2,2,2,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48990,97.98,7.857142857142832,499.99999999944464,237.36837797619046,237.36837797619046,"[52500, 52500]"
2,2,2,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,17490,87.45,7.857142857142832,200.00000000006196,35.85193297371031,35.85193297371031,"[21000, 21000]"
2,2,2,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,48990,97.98,7.857142857142832,499.99999999944464,237.85028831845239,237.85028831845239,"[52500, 52500]"
2,2,4,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18847,94.235,5.83809523809522,200.00000000006196,143.35333736359127,143.35333736359127,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50347,100.694,5.83809523809522,499.99999999944464,950.0184895833332,950.0184895833332,"[52500, 52500, 52500, 52500]"
2,2,4,0.8,1.0,0.1,1,200,"(64, 64)",10,B_rendering,True,18847,94.235,5.8476190476190295,200.00000000006196,143.47926432291666,143.47926432291666,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.1,1,500,"(64, 64)",10,B_rendering,True,50347,100.694,5.8476190476190295,499.99999999944464,950.0523933531746,950.0523933531746,"[52500, 52500, 52500, 52500]"
2,2,1,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,11717,58.585,11.857142857142819,200.00000000006196,4.380065142919147,4.380065142919147,[21000]
2,2,1,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,43217,86.434,11.857142857142819,499.99999999944464,87.00015888516864,87.00015888516864,[52500]
2,2,1,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,11717,58.585,11.857142857142819,200.00000000006196,4.380065142919147,4.380065142919147,[21000]
2,2,1,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,43217,86.434,11.857142857142819,499.99999999944464,87.00015888516864,87.00015888516864,[52500]
2,2,2,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,15773,78.865,8.523809523809497,200.00000000006196,17.524076140873014,17.524076140873014,"[21000, 21000]"
2,2,2,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,47273,94.546,8.523809523809497,499.99999999944464,347.45704985119045,347.45704985119045,"[52500, 52500]"
2,2,2,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,15773,78.865,8.533333333333307,200.00000000006196,17.51192646329365,17.51192646329365,"[21000, 21000]"
2,2,2,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,47273,94.546,8.533333333333307,499.99999999944464,321.67003348214286,321.67003348214286,"[52500, 52500]"
2,2,4,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18040,90.2,6.2190476190476,200.00000000006196,70.09698893229167,70.09698893229167,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,49540,99.08,6.2190476190476,499.99999999944464,1393.393576388889,1393.393576388889,"[52500, 52500, 52500, 52500]"
2,2,4,0.8,1.0,0.2,1,200,"(64, 64)",10,B_rendering,True,18040,90.2,6.2190476190476,200.00000000006196,70.06920185391866,70.06920185391866,"[21000, 21000, 21000, 21000]"
2,2,4,0.8,1.0,0.2,1,500,"(64, 64)",10,B_rendering,True,49540,99.08,6.2190476190476,499.99999999944464,1389.4551339285713,1389.4551339285713,"[52500, 52500, 52500, 52500]"
