entity_id,speed,avg_distance,proper_time,coordinate_time,gamma_eff_measured,gamma_SR_avg,gamma_grav_avg,gamma_predicted,relative_error,passes_threshold
mobile_0,0.1000,30.42,809.93,5000,6.1734,1.0050,6.5191,6.5520,0.0613,True
mobile_1,0.1000,41.00,962.72,5000,5.1936,1.0050,5.6260,5.6543,0.0887,True
mobile_2,0.1000,38.24,938.44,5000,5.3280,1.0050,5.8641,5.8936,0.1062,True
mobile_3,0.1000,38.28,970.13,5000,5.1539,1.0050,5.6699,5.6985,0.1057,True
mobile_4,0.1000,36.99,948.60,5000,5.2709,1.0050,5.6655,5.6941,0.0803,True
mobile_5,0.5000,30.42,1019.54,5000,4.9042,1.1547,4.5002,5.1963,0.0596,True
mobile_6,0.5000,38.69,1177.87,5000,4.2449,1.1547,4.0859,4.7180,0.1114,True
mobile_7,0.5000,38.23,1201.90,5000,4.1601,1.1547,4.0279,4.6510,0.1180,True
mobile_8,0.5000,38.34,1195.86,5000,4.1811,1.1547,4.0247,4.6473,0.1115,True
mobile_9,0.5000,38.29,1204.47,5000,4.1512,1.1547,4.0007,4.6196,0.1128,True
mobile_10,0.9000,30.42,560.42,5000,8.9219,2.2942,4.2123,9.6637,0.0831,True
mobile_11,0.9000,38.39,678.43,5000,7.3699,2.2942,3.6347,8.3386,0.1314,True
mobile_12,0.9000,38.28,690.07,5000,7.2456,2.2942,3.6240,8.3141,0.1475,True
mobile_13,0.9000,38.16,683.68,5000,7.3133,2.2942,3.6584,8.3930,0.1476,True
mobile_14,0.9000,38.37,694.05,5000,7.2041,2.2942,3.5831,8.2201,0.1410,True
mobile_15,0.9900,30.42,188.86,5000,26.4743,7.0888,4.0762,28.8953,0.0914,True
mobile_16,0.9900,38.30,235.06,5000,21.2714,7.0888,3.4644,24.5585,0.1545,False
mobile_17,0.9900,38.23,240.88,5000,20.7577,7.0888,3.4363,24.3591,0.1735,False
mobile_18,0.9900,38.21,237.31,5000,21.0699,7.0888,3.4825,24.6871,0.1717,False
mobile_19,0.9900,38.06,241.10,5000,20.7385,7.0888,3.4068,24.1501,0.1645,False
mobile_20,0.1000,36.97,823.56,5000,6.0712,1.0050,6.4086,6.4409,0.0609,True
mobile_21,0.1000,41.24,963.98,5000,5.1868,1.0050,5.6742,5.7028,0.0995,True
mobile_22,0.1000,38.34,949.61,5000,5.2653,1.0050,5.7643,5.7934,0.1003,True
mobile_23,0.1000,38.47,962.10,5000,5.1970,1.0050,5.7236,5.7525,0.1069,True
mobile_24,0.1000,35.97,917.38,5000,5.4503,1.0050,6.0191,6.0495,0.1099,True
mobile_25,0.5000,36.97,1046.18,5000,4.7793,1.1547,4.4054,5.0869,0.0644,True
mobile_26,0.5000,38.80,1224.08,5000,4.0847,1.1547,3.8703,4.4690,0.0941,True
mobile_27,0.5000,38.23,1203.92,5000,4.1531,1.1547,4.0302,4.6537,0.1205,True
mobile_28,0.5000,38.24,1197.65,5000,4.1748,1.1547,4.0083,4.6284,0.1086,True
mobile_29,0.5000,37.95,1200.61,5000,4.1645,1.1547,4.0876,4.7200,0.1334,True
mobile_30,0.9000,36.97,578.21,5000,8.6474,2.2942,4.0913,9.3860,0.0854,True
mobile_31,0.9000,38.33,686.33,5000,7.2851,2.2942,3.6437,8.3592,0.1474,True
mobile_32,0.9000,38.30,688.14,5000,7.2660,2.2942,3.6329,8.3344,0.1470,True
mobile_33,0.9000,38.18,684.71,5000,7.3024,2.2942,3.6429,8.3574,0.1445,True
mobile_34,0.9000,38.29,691.01,5000,7.2358,2.2942,3.6189,8.3024,0.1474,True
mobile_35,0.9900,36.98,194.52,5000,25.7042,7.0888,3.9590,28.0645,0.0918,True
mobile_36,0.9900,38.43,238.96,5000,20.9241,7.0888,3.4510,24.4633,0.1691,False
mobile_37,0.9900,38.23,239.90,5000,20.8420,7.0888,3.4467,24.4329,0.1723,False
mobile_38,0.9900,38.22,237.81,5000,21.0254,7.0888,3.4643,24.5575,0.1680,False
mobile_39,0.9900,38.02,238.05,5000,21.0038,7.0888,3.4965,24.7859,0.1801,False
mobile_40,0.1000,44.66,824.13,5000,6.0670,1.0050,6.3984,6.4306,0.0599,True
mobile_41,0.1000,40.58,949.17,5000,5.2677,1.0050,5.7855,5.8147,0.1038,True
mobile_42,0.1000,38.47,947.31,5000,5.2781,1.0050,5.7668,5.7958,0.0981,True
mobile_43,0.1000,38.33,966.12,5000,5.1753,1.0050,5.6769,5.7055,0.1024,True
mobile_44,0.1000,36.15,928.86,5000,5.3829,1.0050,5.9528,5.9827,0.1114,True
mobile_45,0.5000,44.66,1048.48,5000,4.7688,1.1547,4.3791,5.0565,0.0603,True
mobile_46,0.5000,38.45,1207.40,5000,4.1411,1.1547,4.0166,4.6380,0.1200,True
mobile_47,0.5000,38.30,1194.75,5000,4.1850,1.1547,4.0212,4.6432,0.1095,True
mobile_48,0.5000,38.06,1215.76,5000,4.1126,1.1547,3.9915,4.6090,0.1207,True
mobile_49,0.5000,37.98,1208.36,5000,4.1378,1.1547,3.9407,4.5504,0.0997,True
mobile_50,0.9000,44.66,576.87,5000,8.6675,2.2942,4.0968,9.3986,0.0844,True
mobile_51,0.9000,38.25,688.23,5000,7.2650,2.2942,3.6445,8.3610,0.1509,False
mobile_52,0.9000,38.31,684.13,5000,7.3086,2.2942,3.6347,8.3385,0.1409,True
mobile_53,0.9000,38.20,688.09,5000,7.2665,2.2942,3.6267,8.3202,0.1450,True
mobile_54,0.9000,38.23,683.26,5000,7.3178,2.2942,3.6542,8.3832,0.1456,True
mobile_55,0.9900,44.66,194.41,5000,25.7192,7.0888,3.9587,28.0625,0.0911,True
mobile_56,0.9900,38.45,238.79,5000,20.9387,7.0888,3.4672,24.5785,0.1738,False
mobile_57,0.9900,38.26,238.63,5000,20.9532,7.0888,3.4487,24.4471,0.1667,False
mobile_58,0.9900,38.23,239.02,5000,20.9183,7.0888,3.4507,24.4614,0.1694,False
mobile_59,0.9900,38.11,236.60,5000,21.1330,7.0888,3.5077,24.8655,0.1766,False
mobile_60,0.1000,53.03,823.25,5000,6.0735,1.0050,6.4146,6.4469,0.0615,True
mobile_61,0.1000,39.64,940.83,5000,5.3145,1.0050,5.7235,5.7524,0.0824,True
mobile_62,0.1000,38.29,954.64,5000,5.2376,1.0050,5.7240,5.7528,0.0984,True
mobile_63,0.1000,38.21,952.37,5000,5.2501,1.0050,5.7405,5.7694,0.0989,True
mobile_64,0.1000,37.45,951.74,5000,5.2536,1.0050,5.6323,5.6607,0.0775,True
mobile_65,0.5000,53.03,1045.83,5000,4.7809,1.1547,4.4099,5.0921,0.0651,True
mobile_66,0.5000,38.14,1183.10,5000,4.2262,1.1547,4.1249,4.7631,0.1270,True
mobile_67,0.5000,38.33,1199.34,5000,4.1690,1.1547,4.0086,4.6287,0.1103,True
mobile_68,0.5000,37.99,1210.12,5000,4.1318,1.1547,4.0055,4.6251,0.1194,True
mobile_69,0.5000,37.94,1173.42,5000,4.2611,1.1547,4.0562,4.6836,0.0992,True
mobile_70,0.9000,53.03,577.65,5000,8.6558,2.2942,4.0993,9.4043,0.0865,True
mobile_71,0.9000,38.22,688.99,5000,7.2570,2.2942,3.6211,8.3073,0.1447,True
mobile_72,0.9000,38.28,678.85,5000,7.3654,2.2942,3.6685,8.4160,0.1426,True
mobile_73,0.9000,38.26,689.89,5000,7.2475,2.2942,3.6257,8.3180,0.1477,True
mobile_74,0.9000,38.20,680.44,5000,7.3482,2.2942,3.6224,8.3103,0.1309,True
mobile_75,0.9900,53.03,194.83,5000,25.6637,7.0888,3.9601,28.0723,0.0939,True
mobile_76,0.9900,38.48,240.41,5000,20.7981,7.0888,3.4262,24.2877,0.1678,False
mobile_77,0.9900,38.28,236.15,5000,21.1728,7.0888,3.4759,24.6403,0.1638,False
mobile_78,0.9900,38.26,239.68,5000,20.8611,7.0888,3.4495,24.4526,0.1722,False
mobile_79,0.9900,38.28,236.58,5000,21.1349,7.0888,3.4217,24.2560,0.1477,True
