tick,r_mean,r_rms,r_std,KE,PE,E_total,L,collisions_total,collisions_tick,fragment_ke_mean,fragment_ke_std
200,1.8657830119920737,1.9888671874742279,0.6888007270418856,1.0929579649953348e-05,-0.000988079955937696,-0.0009771503762877427,0.0005057131327920897,13896,,1.0929579649953347e-07,1.2455971420488585e-07
400,1.9527601670724217,2.113586032056159,0.8086863698605193,6.88937653059164e-06,-0.0009953585964305874,-0.0009884692198999958,0.0004127317422611516,32184,,6.88937653059164e-08,7.731472757601733e-08
600,1.8968700849030262,2.0496932936257903,0.7766121805216082,4.017158310923658e-06,-0.0009965243461105549,-0.0009925071877996312,0.0005736336633597805,51278,,4.017158310923658e-08,4.446182182304551e-08
800,1.8512282400375988,1.98934364517309,0.7283145899114281,5.205039635297303e-06,-0.0009965260432181968,-0.0009913210035828995,0.00015928490806815747,69972,,5.205039635297303e-08,4.733731031068154e-08
1000,1.8696072786968123,2.009786843734368,0.7374359502300187,4.255324991737377e-06,-0.000996526764613552,-0.0009922714396218145,0.0006408632829579291,87610,,4.2553249917373767e-08,5.3979249223021915e-08
1200,1.88884505619727,2.03938670885009,0.7690009765361364,3.0653704209866407e-06,-0.000997684753235337,-0.0009946193828143503,5.7495018554896556e-05,106764,,3.0653704209866405e-08,3.7844924365381196e-08
1400,1.8949175406004088,2.043696939601337,0.7654963718142412,3.021426612804665e-06,-0.0009953697830613047,-0.0009923483564485,-0.00023752941205787447,125218,,3.0214266128046646e-08,3.4240041599739174e-08
1600,1.870010379780677,2.015552539847595,0.7520061305591974,3.762350556655102e-06,-0.00099884248839601,-0.000995080137839355,7.428667966650781e-05,143642,,3.762350556655103e-08,4.542072529523108e-08
1800,1.8604678558136831,1.9985442978026313,0.7299579904100292,3.2769392058834856e-06,-0.0009976850327972806,-0.0009944080935913972,-0.00035323605050346577,161100,,3.276939205883486e-08,3.509708193513641e-08
2000,1.876972349530255,2.019170405553335,0.7443278348693496,5.559783506695974e-06,-0.000995370142782078,-0.000989810359275382,-0.0005010261832845668,180978,,5.559783506695976e-08,9.888608504204021e-08
2200,1.9270877804046165,2.0826138524945526,0.7896918039446857,5.066765653983438e-06,-0.0009953701986838452,-0.0009903034330298616,-0.0007658493247391257,199442,,5.0667656539834383e-08,6.793772885706252e-08
2400,1.8888489355654672,2.0329888783570267,0.7518600123271376,3.51143753337093e-06,-0.0009942128003957657,-0.0009907013628623947,-0.0005528399448048746,217204,,3.51143753337093e-08,3.9786720472401194e-08
2600,1.850504700347969,1.990680294129863,0.7337849735631207,3.352920754176697e-06,-0.0009976851365416485,-0.0009943322157874718,-0.000894042883934229,238262,,3.352920754176697e-08,4.129418285364478e-08
