Tick,Operator,Phase,Input A,Input B,Binary Output,Trinary Output
1,NAND,+,1,1,0,0
2,NAND,+,1,0,1,1
3,NAND,+,0,1,1,1
4,NAND,+,0,0,1,1
5,NAND,+,1,1,0,0
6,NAND,+,1,0,1,1
7,NAND,+,0,1,1,1
8,NAND,+,0,0,1,1
9,OR,-,1,1,1,-1
10,OR,-,1,0,1,-1
11,OR,-,0,1,1,-1
12,OR,-,0,0,0,0
13,OR,-,1,1,1,-1
14,OR,-,1,0,1,-1
15,OR,-,0,1,1,-1
16,OR,-,0,0,0,0
17,OR,-,1,1,1,-1
18,OR,+,1,0,1,1
19,OR,+,0,1,1,1
20,OR,+,0,0,0,0
21,OR,+,1,1,1,1
22,OR,+,1,0,1,1
23,OR,+,0,1,1,1
24,OR,+,0,0,0,0
25,OR,-,1,1,1,-1
26,OR,-,1,0,1,-1
27,OR,-,0,1,1,-1
28,OR,-,0,0,0,0
29,OR,-,1,1,1,-1
30,OR,-,1,0,1,-1
31,OR,-,0,1,1,-1
32,OR,-,0,0,0,0
33,OR,-,1,1,1,-1
34,OR,+,1,0,1,1
35,OR,+,0,1,1,1
36,OR,+,0,0,0,0
37,OR,+,1,1,1,1
38,OR,+,1,0,1,1
39,OR,+,0,1,1,1
40,OR,+,0,0,0,0
41,OR,+,1,1,1,1
42,OR,+,1,0,1,1
43,OR,-,0,1,1,-1
44,OR,-,0,0,0,0
45,OR,-,1,1,1,-1
46,OR,-,1,0,1,-1
47,OR,-,0,1,1,-1
48,OR,-,0,0,0,0
49,OR,+,1,1,1,1
50,OR,+,1,0,1,1
51,OR,+,0,1,1,1
52,OR,+,0,0,0,0
53,OR,+,1,1,1,1
54,OR,+,1,0,1,1
55,OR,+,0,1,1,1
56,OR,-,0,0,0,0
57,OR,-,1,1,1,-1
58,OR,-,1,0,1,-1
59,OR,-,0,1,1,-1
60,OR,-,0,0,0,0
61,OR,-,1,1,1,-1
62,OR,-,1,0,1,-1
63,OR,+,0,1,1,1
64,OR,+,0,0,0,0
65,OR,+,1,1,1,1
66,OR,+,1,0,1,1
67,OR,+,0,1,1,1
68,OR,+,0,0,0,0
69,OR,+,1,1,1,1
70,OR,-,1,0,1,-1
71,OR,-,0,1,1,-1
72,OR,-,0,0,0,0
73,OR,-,1,1,1,-1
74,OR,-,1,0,1,-1
75,OR,-,0,1,1,-1
76,OR,-,0,0,0,0
77,OR,-,1,1,1,-1
78,OR,-,1,0,1,-1
79,OR,+,0,1,1,1
